,City,City Latitude,City Longitude,Hospital
1926,San Diego,32.73,-117.08,Colina Veterinary Hospital
1927,San Diego,32.73,-117.08,Coronado Veterinary
1928,San Diego,32.73,-117.08,ABC Veterinary Hospital - Pacific Beach
1929,San Diego,32.73,-117.08,Carol Gabrielson DVM- Veterinary Housecalls
1931,San Diego,32.73,-117.08,ABC Veterinary Hospital - Kearny Mesa
1932,San Diego,32.73,-117.08,Lemon Grove Veterinary Hospital
1933,San Diego,32.73,-117.08,B Street Veterinary Hospital
1935,San Diego,32.73,-117.08,Veterinary Dental Specialties
1936,San Diego,32.73,-117.08,Veterinary Imaging Center San Diego
1937,San Diego,32.73,-117.08,veterinary imaging center
1938,San Diego,32.73,-117.08,Veterinary clinic
1939,San Diego,32.73,-117.08,Healing Hands Veterinary Care
1940,San Diego,32.73,-117.08,San Carlos Veterinary Hospital
1941,San Diego,32.73,-117.08,Lake Murray Village Veterinary Clinic
1942,San Diego,32.73,-117.08,Tierrasanta Veterinary Hospital
1943,San Diego,32.73,-117.08,Eastlake Village Veterinary
1944,San Diego,32.73,-117.08,Care & Comfort Veterinary Hospital
1945,San Diego,32.73,-117.08,Bay Park Veterinary Clinic
1946,San Diego,32.73,-117.08,Bodhi Animal Hospital
1947,San Diego,32.73,-117.08,Coastview Veterinary Hospital
1948,San Diego,32.73,-117.08,Balboa Veterinary Hospital
1949,San Diego,32.73,-117.08,South Bay Veterinary Hospital
1950,San Diego,32.73,-117.08,Bayside Veterinary Clinic
1951,San Diego,32.73,-117.08,Rancho Village Veterinary Hospital
1952,San Diego,32.73,-117.08,Point Loma Veterinary Clinic
1953,San Diego,32.73,-117.08,Bayside Veterinary Hospital
1954,San Diego,32.73,-117.08,Integrative Veterinary Care
1955,San Diego,32.73,-117.08,Southern California Veterinary Dental Specialties
1956,San Diego,32.73,-117.08,Otay Lakes Veterinary
1958,San Diego,32.73,-117.08,Cabrillo Veterinary Clinic
1959,San Diego,32.73,-117.08,PIMA Veterinary Technician Campus
1960,San Diego,32.73,-117.08,El Cajon Valley Veterinary Hospital
1961,San Diego,32.73,-117.08,Shelter Island Veterinary Hospital
1962,San Diego,32.73,-117.08,South San Diego Veterinary Hospital
1963,San Diego,32.73,-117.08,Steele Canyon Veterinary Clinic
1964,San Diego,32.73,-117.08,Jamacha Veterinary Clinic
1965,San Diego,32.73,-117.08,SeaCoast Veterinary Group
2159,Panorama City,34.22,-118.44,East Valley Veterinary Clinic
2162,Panorama City,34.22,-118.44,Fivestar Veterinary Center
2181,Panorama City,34.22,-118.44,Collet Veterinary Clinic
2187,Panorama City,34.22,-118.44,Big Tujunga Veterinary Hospital
2540,Costa Mesa,33.64,-117.91,"Dr. Silvia M Colladay DVM, Coastal Veterinary Medicine"
2603,Broadway Manchester,33.96,-118.27,Shane Veterinary
2622,Broadway Manchester,33.96,-118.27,Westchester Veterinary Center & Cat Clinic
2626,Broadway Manchester,33.96,-118.27,Marina Veterinary Center
2679,Oakwood,34.07,-118.31,Elite Veterinary Care (Mobile Practice)
2692,Oakwood,34.07,-118.31,Hope Veterinary Center
2693,Oakwood,34.07,-118.31,Stewart Veterinary Clinic
2702,Oakwood,34.07,-118.31,Bay Cities Veterinary Hospital
2709,Oakwood,34.07,-118.31,Jones Veterinary
2808,National City,32.67,-117.09,Vet Playas Veterinary Clinic
2834,Cypress,33.81,-118.03,Sun Surf Veterinary Hospital
2888,Indio,33.71,-116.23,All Creatures Veterinary Care
2889,Indio,33.71,-116.23,Desert Veterinary Specialists
2959,San Francisco,37.79,-122.42,Camino Alto Veterinary Hospital & Wellness Center
2969,San Francisco,37.79,-122.42,Alto Tiburon Veterinary Hospital
2980,San Francisco,37.79,-122.42,Richmond Veterinary Hospital
3055,Newbury Park,34.17,-118.95,Midtown Veterinary Clinic
3056,Newbury Park,34.17,-118.95,Battier's Veterinary Clinic
3057,Newbury Park,34.17,-118.95,East West Veterinary Clinic
3058,Newbury Park,34.17,-118.95,The Village Veterinary
3059,Newbury Park,34.17,-118.95,Borchard Veterinary Clinic
3060,Newbury Park,34.17,-118.95,Newbury Park Veterinary Clinic
3062,Newbury Park,34.17,-118.95,The Veterinary Hospital of Westlake Village
3063,Newbury Park,34.17,-118.95,Conejo Valley Veterinary Hospital
3064,Newbury Park,34.17,-118.95,Camarillo Veterinary Hospital
3065,Newbury Park,34.17,-118.95,Mission Oaks Veterinary Clinic
3066,Newbury Park,34.17,-118.95,Las Posas Veterinary Medical Center
3067,Newbury Park,34.17,-118.95,VSEC - Veterinary Specialty and Emergency Center of Thousand Oaks
3068,Newbury Park,34.17,-118.95,Caring Hands Veterinary Hospital
3069,Newbury Park,34.17,-118.95,The Village Veterinary Hospital
3070,Newbury Park,34.17,-118.95,Camarosa Veterinary Clinic
3071,Newbury Park,34.17,-118.95,Maulhardt Equine Veterinary Services
3072,Newbury Park,34.17,-118.95,At Home Veterinary Care - Bradley Patterson DVM
3073,Newbury Park,34.17,-118.95,Valley Veterinary Clinic
3074,Newbury Park,34.17,-118.95,Town Veterinary
3075,Newbury Park,34.17,-118.95,Moorpark Veterinary Hospital
3076,Newbury Park,34.17,-118.95,Oak Park Veterinary Hospital
3213,Box Canyon,34.22,-118.59,Veterinary Angels Medical Center
3230,Box Canyon,34.22,-118.59,Rancho Sequoia Veterinary Hospital
3231,Box Canyon,34.22,-118.59,Alamo Veterinary Clinic
3236,Box Canyon,34.22,-118.59,National veterinary associates
3237,Box Canyon,34.22,-118.59,National Veterinary Associates (NVA)
3279,Upland,34.1,-117.66,Inland Valley Veterinary Specialists & Emergency Center
3280,Upland,34.1,-117.66,Mountain View Veterinary Hospital
3281,Upland,34.1,-117.66,College Of Veterinary Medicine at Western University
3282,Upland,34.1,-117.66,Ontario Veterinary Hospital
3284,Upland,34.1,-117.66,Claremont veterinary hospital
3286,Upland,34.1,-117.66,Golden Oaks Veterinary Hospital
3288,Upland,34.1,-117.66,Euclid Veterinary Hospital
3289,Upland,34.1,-117.66,Chino Veterinary Hospital
3290,Upland,34.1,-117.66,Citrus Veterinary Clinic
3293,Upland,34.1,-117.66,Payne Ranch Veterinary Clinic
3294,Upland,34.1,-117.66,PET DEPOT Franchises
3559,San Diego,32.75,-117.07,Judy veterinary clinic
3573,San Diego,32.75,-117.07,Agape Veterinary Hospital
3579,San Diego,32.75,-117.07,"Bastet Veterinary Hospital, Inc."
4338,Los Angeles,34.04,-118.18,Crown city veterinary medical group
4501,Thousand Oaks,34.21,-118.88,Town Veterinary Medical Center
4582,Los Angeles,34.1,-118.22,Crescenta Valley Veterinary Hospital
5050,West Covina,34.06,-117.94,Dr. Domotor's Animal House Veterinary Hospital
5051,West Covina,34.06,-117.94,Huntington Veterinary Hospital
5052,West Covina,34.06,-117.94,Glendora Veterinary Clinic
5060,West Covina,34.06,-117.94,Huntington Vet Hos
5178,San Mateo,37.54,-122.3,S.A.G.E Centers Veterinary Specialty & Emergency Care
5179,San Mateo,37.54,-122.3,Veterinary Vision San Carlos
5180,San Mateo,37.54,-122.3,Woodside Veterinary Clinic
5184,San Mateo,37.54,-122.3,sequoia veterinary hospital
5188,San Mateo,37.54,-122.3,Half Moon Bay Veterinary Hospital
5189,San Mateo,37.54,-122.3,Village Square Veterinary Hospital
5190,San Mateo,37.54,-122.3,Coastside Veterinary Clinic
5192,San Mateo,37.54,-122.3,Portola Valley Veterinary Hospital
5193,San Mateo,37.54,-122.3,Village Square Vet Hospital
5860,Roseville,38.76,-121.28,Atlantic Street Veterinary Pet Emergency Hospital
5861,Roseville,38.76,-121.28,Arbor View Veterinary Clinic
5862,Roseville,38.76,-121.28,Veterinary Healing Center
